"/Vout (b0=0,b1=0,b2=0) X","/Vout (b0=0,b1=0,b2=0) Y","/Vout (b0=1,b1=0,b2=0) X","/Vout (b0=1,b1=0,b2=0) Y","/Vout (b0=0,b1=1,b2=0) X","/Vout (b0=0,b1=1,b2=0) Y","/Vout (b0=1,b1=1,b2=0) X","/Vout (b0=1,b1=1,b2=0) Y","/Vout (b0=0,b1=0,b2=1) X","/Vout (b0=0,b1=0,b2=1) Y","/Vout (b0=1,b1=0,b2=1) X","/Vout (b0=1,b1=0,b2=1) Y","/Vout (b0=0,b1=1,b2=1) X","/Vout (b0=0,b1=1,b2=1) Y","/Vout (b0=1,b1=1,b2=1) X","/Vout (b0=1,b1=1,b2=1) Y","/Vin (b0=0,b1=0,b2=0) X","/Vin (b0=0,b1=0,b2=0) Y"
1.005e-08,1.104547665754205e-07,3.030313840809534e-09,-8.888308734159634e-07,4.937003915290484e-09,-4.652074022567338e-07,4.20250698566166e-09,5.32116611227629e-07,8.420063088763414e-09,-6.653052210049977e-07,4.770322020495702e-09,5.724705165741163e-07,7.393474764806652e-09,8.513859571062585e-07,5.242223270687215e-09,7.277775561334487e-07,1.005e-08,0.8249999999999976
1.009980381569473e-08,1.378431910522122e-05,3.753235053879924e-09,1.261730689951586e-06,5.874671034247851e-09,8.293520973365091e-07,4.718717194378963e-09,-1.304848803740136e-07,9.210031544381707e-09,1.037019831111603e-06,5.438096216747493e-09,-1.714608128467896e-07,8.258787785828144e-09,-4.676241893379767e-07,6.01293680427008e-09,-3.355037530122851e-07,1.009980381569473e-08,0.5510790136789889
1.011109345804925e-08,6.270976639798144e-05,4.801744136839374e-09,-8.891777357678631e-07,7.311247788618522e-09,-4.511532754872039e-07,5.374083733851171e-09,5.063179748673388e-07,1e-08,-6.627831808306253e-07,6.267687972376841e-09,5.53632015729385e-07,9.297136195490889e-09,8.514842377206369e-07,6.901057363789166e-09,7.286382568595089e-07,1.011109345804925e-08,0.4889859807291295
1.012557274040054e-08,0.0001061066023909649,6.623649734012739e-09,1.261665548662406e-06,8.655623894309261e-09,8.181340123320606e-07,6.247686096041072e-09,-1.122655118369106e-07,1.002426878603342e-08,5.855358921102512e-08,7.03220496863289e-09,-1.585912373176458e-07,1e-08,-4.683033325007672e-07,7.715562642510063e-09,-3.397139183013907e-07,1.012557274040054e-08,0.4093499277970386
1.013227967739011e-08,-4.288309021624624e-05,8.62364973401274e-09,-8.889888221110289e-07,1e-08,-4.39796937653728e-07,7.491586987627958e-09,4.929312143004728e-07,1.005495964838245e-08,5.434731485375802e-07,7.910223072009567e-09,5.393114644831101e-07,1.002293896487275e-08,1.156230546210791e-07,8.599395139777046e-09,7.300151471589647e-07,1.013227967739011e-08,0.3724617743544016
1.013990311568982e-08,-0.001510557364502621,1e-08,1.261302456765405e-06,1.003126848491293e-08,6.888936587832589e-08,8.745793493813979e-09,-1.015469544907297e-07,1.006511068887649e-08,2.928226164495898e-07,8.934190470382891e-09,-1.477760626447187e-07,1.005246639354772e-08,4.440633627433237e-07,9.299697569888525e-09,-3.431619669015148e-07,1.013990311568982e-08,0.3305328637059807
1.014544708454626e-08,-0.00537934836305296,1.003162500337143e-08,1.270533888413734e-07,1.006760822531385e-08,5.490615855996928e-07,1e-08,4.824003111190477e-07,1.007833831956697e-08,1.496061109378882e-06,1e-08,5.293378999948607e-07,1.006321365763342e-08,1.349199139293229e-07,1e-08,7.334045046156252e-07,1.014544708454626e-08,0.3000410349956047
1.014986859919777e-08,-0.01107625761968578,1.006824048278687e-08,5.040600696242912e-07,1.00769274109932e-08,1.435489185587548e-06,1.003019185391925e-08,1.891644699188006e-07,1.009266894909707e-08,3.012860951651489e-06,1.002792616513142e-08,1.710053558313375e-07,1.007694611457912e-08,9.577176864761134e-07,1.002287069452488e-08,1.253493638266207e-07,1.014986859919777e-08,0.275722704412249
1.015448134466976e-08,-0.01743555896070844,1.007755762788305e-08,1.587565696271227e-06,1.00874701532e-08,2.582066812425702e-06,1.006565442896915e-08,3.939126758337495e-07,1.010384339372298e-08,3.909514971461427e-06,1.006159161277557e-08,4.04597449307065e-07,1.009216198117403e-08,1.603503382389572e-06,1.005231443853867e-08,4.040391392042434e-07,1.015448134466976e-08,0.2503526043163548
1.01571655585491e-08,-0.008634109924336886,1.008801282798712e-08,2.713264611735282e-06,1.009870702053802e-08,3.728447594778417e-06,1.007502325944848e-08,7.334110336534615e-07,1.011702527053824e-08,2.98601892404949e-06,1.007108955848528e-08,4.719223560694756e-07,1.010346411879871e-08,1.996408000536011e-06,1.006313238726006e-08,1.701443687267056e-07,1.01571655585491e-08,0.235589427979967
