/Vout (C=5e-14) X,/Vout (C=5e-14) Y,/Vout (C=1e-13) X,/Vout (C=1e-13) Y,/Vout (C=2e-13) X,/Vout (C=2e-13) Y,/Vout (C=3e-13) X,/Vout (C=3e-13) Y,/Vout (C=4e-13) X,/Vout (C=4e-13) Y,/Vout (C=5e-13) X,/Vout (C=5e-13) Y,/Vout (C=6e-13) X,/Vout (C=6e-13) Y,/Vout (C=7e-13) X,/Vout (C=7e-13) Y,/Vout (C=8e-13) X,/Vout (C=8e-13) Y,/Vout (C=9e-13) X,/Vout (C=9e-13) Y,/Vout (C=1e-12) X,/Vout (C=1e-12) Y,/Vout (C=1.1e-12) X,/Vout (C=1.1e-12) Y,/Vout (C=1.2e-12) X,/Vout (C=1.2e-12) Y,/Vin (C=5e-14) X,/Vin (C=5e-14) Y
7.04497587309259e-08,1.094886686472618,7.068578247506721e-08,1.084482745450806,7.116396616773131e-08,1.094183204822511,7.163234131958104e-08,1.094793424374291,7.213781603859331e-08,1.098363591227565,7.338458139795634e-08,1.099999043088267,7.317674824398306e-08,1.099517714324906,7.687480967742152e-08,1.100012732772931,7.715181019099971e-08,1.100017001609016,7.861291701780865e-08,1.100029637377373,8.002640950099051e-08,1.099998055285602,8.006823648604559e-08,1.099991809831582,8.008637185700525e-08,1.099962939832025,7.04497587309259e-08,0
7.045344473024253e-08,1.096615748570035,7.068935110036261e-08,1.092081210207821,7.116927413399353e-08,1.096040397102265,7.163917413022199e-08,1.09652419631301,7.216560524050783e-08,1.098850364927009,7.365226414299544e-08,1.09999785958,7.324212707003481e-08,1.099917989102763,7.788127070167388e-08,1.099987088160729,7.823333499661235e-08,1.09998278327606,7.930645850890433e-08,1.099970364010841,8.005887957696206e-08,1.099998401141925,8.007962064530959e-08,1.099979776207241,8.009785389911121e-08,1.099953445046497,7.045344473024253e-08,0
7.045858550010097e-08,1.098280621386498,7.069324846062936e-08,1.094754752077642,7.11755229168229e-08,1.096801720284574,7.164686501486672e-08,1.097258442842679,7.220103356925516e-08,1.099429538519009,7.4041055399742e-08,1.100000992046023,7.331102531408135e-08,1.099911217827077,7.903015092854507e-08,1.100012538166035,7.911666749830618e-08,1.100016762413918,8e-08,1.100028947364006,8.007511461494785e-08,1.099986391232569,8.008887073434292e-08,1.099956094388939,8.010638805432575e-08,1.100332484850761,7.045858550010097e-08,0
7.046750767672835e-08,1.099662590206595,7.0697692915372e-08,1.095901193996072,7.11843810990109e-08,1.097419174119834,7.165741844234878e-08,1.097813721133704,7.223662940566096e-08,1.099851433310263,7.46195059850228e-08,1.099998563231211,7.336862909442168e-08,1.099971507785545,8e-08,1.09998730237051,8e-08,1.099983071906004,8.002284171119971e-08,1.10000258348388,8.00860797542693e-08,1.099967397151702,8.010001409135632e-08,1.099931907641355,8.011084705399508e-08,1.101328118455725,7.046750767672835e-08,0
7.04743728292389e-08,1.099881764918652,7.070379332517935e-08,1.096999772100234,7.11994054755955e-08,1.098276357122618,7.167738890703813e-08,1.098444191636891,7.22689690901187e-08,1.099888755060981,7.529715646982785e-08,1.100001086427692,7.342723705985393e-08,1.099950813859828,8.002676169574e-08,1.099999252099232,8.00255969077395e-08,1.099999076415117,8.00523245383029e-08,1.099995813567224,8.009465494401733e-08,1.099937779820519,8.010846371643435e-08,1.10025951351581,8.011494569069651e-08,1.103579651269844,7.04743728292389e-08,0
7.048221397583574e-08,1.099954787256163,7.071334497195593e-08,1.098527126818402,7.121815858104192e-08,1.099302511941118,7.170362509801285e-08,1.099174643438521,7.230307228334195e-08,1.099937743549244,7.606362344167397e-08,1.099998655795143,7.354445299071843e-08,1.10000048122622,8.005953640769034e-08,1.099998163078757,8.005740985368729e-08,1.099998357915193,8.00670659518545e-08,1.099995141333124,8.010413081093646e-08,1.099921969938235,8.011271979091423e-08,1.101166010886246,8.011958107809867e-08,1.108798693670349,7.048221397583574e-08,0
7.049184454014563e-08,1.099973988163107,7.07256861757642e-08,1.099625268023412,7.123775249345124e-08,1.099818136263711,7.172992058745729e-08,1.099761322153144,7.233967226315438e-08,1.09994487618554,7.695083483087984e-08,1.100001060510957,7.371218266505384e-08,1.099976003159934,8.007592376366551e-08,1.099987442191303,8.007331632666118e-08,1.099989522346318,8.007879781793051e-08,1.099981923829198,8.011291311153145e-08,1.100606080387315,8.011667437258712e-08,1.103290049829522,8.012356380418167e-08,1.115635082449177,7.049184454014563e-08,0
7.050908743196016e-08,1.099987990667852,7.073817182433972e-08,1.099896380712436,7.126215504073291e-08,1.099903409436922,7.176684410921606e-08,1.099905201751635,7.241157820357101e-08,1.099978886454366,7.802378472812352e-08,1.0999986898737,7.391244453699593e-08,1.100012353572478,8.008736012880394e-08,1.099969049858079,8.008478980307247e-08,1.099973160731946,8.00895676676628e-08,1.099960213783238,8.011725770060004e-08,1.102300853018475,8.012123552038558e-08,1.10842635422319,8.012931701920381e-08,1.119339264904631,7.050908743196016e-08,0
7.0534514361403e-08,1.099996747567688,7.07492592599163e-08,1.099911226930966,7.128030072942994e-08,1.099940168234788,7.179330206084241e-08,1.09993899489307,7.250886282149563e-08,1.099981044473684,7.901189236406176e-08,1.100001033336191,7.418965564021069e-08,1.09998378632701,8.009675128476936e-08,1.099942488520808,8.009444937320688e-08,1.099947524282006,8.010176767655101e-08,1.099910833644143,8.012110031249213e-08,1.105856329768706,8.0125090070999e-08,1.115121809259689,8.013220801017956e-08,1.094235060536082,7.0534514361403e-08,0
7.057004635808251e-08,1.099996544245932,7.076223462254589e-08,1.099978102901909,7.130513164120734e-08,1.099959876433122,7.182314189574963e-08,1.099941474673984,7.264493193355751e-08,1.10000030609336,8e-08,1.099998721100787,7.45767975045237e-08,1.100014331496042,8.010713606684319e-08,1.099884509505989,8.010533241453687e-08,1.099894248071858,8.011041156909823e-08,1.100020267690974,8.012505445887599e-08,1.111957660710355,8.013086627676157e-08,1.121048800012439,8.013426296711868e-08,1.035097973126149,7.057004635808251e-08,0
7.062146259729463e-08,1.100000527090136,7.078818534780508e-08,1.099960170426564,7.1352975320805e-08,1.099975932215275,7.186900758696293e-08,1.099980465816385,7.282098960633054e-08,1.099992583488419,8.002700295958445e-08,1.100000138198721,7.514671986899838e-08,1.09998528845199,8.01151715026157e-08,1.10011021469597,8.011348887361114e-08,1.100104602853947,8.011558175615007e-08,1.100823056950109,8.012927770934455e-08,1.12095497977753,8.013510762635447e-08,1.062722517479193,8.013639260895507e-08,0.9252436499690265,7.062146259729463e-08,0
7.069211217730956e-08,1.09999796486037,7.081866749464694e-08,1.100008902279977,7.141357652635667e-08,1.099994383716325,7.196073896938955e-08,1.099978264928692,7.306477613562425e-08,1.100004763660312,8.005997661081719e-08,1.099997758564203,7.592040534663646e-08,1.100014216516658,8.011881441047142e-08,1.100864342173745,8.011739648477598e-08,1.100860488439589,8.01194135900209e-08,1.102687379098328,8.013438731121022e-08,1.108364754762865,8.013809732355451e-08,0.9236532480807399,8.013878769641102e-08,0.7469946316612646,7.069211217730956e-08,0
7.07763624285649e-08,1.100001256839948,7.087844294948348e-08,1.099977862246155,7.153477893746e-08,1.099994302465249,7.206053046206825e-08,1.10000417408323,7.343154991000135e-08,1.099994443438045,8.007646343643356e-08,1.099987702788936,7.678495541783786e-08,1.099985634461849,8.012231114171607e-08,1.102827318411438,8.012099986194293e-08,1.102780209202174,8.012419777158323e-08,1.108021554334887,8.013677664572762e-08,1.062435018989814,8.014035389686466e-08,0.7564197727735894,8.014171788667602e-08,0.477040931271456,7.07763624285649e-08,0
7.087376670269759e-08,1.099998160182929,7.095391490827013e-08,1.10001827443682,7.166235053455987e-08,1.100002636722284,7.222326045305783e-08,1.099989528701381,7.39490724467619e-08,1.10000508022918,8.008801908807541e-08,1.099969516446093,7.777093374099996e-08,1.100013984074916,8.012648899848765e-08,1.107801382705654,8.012533522682093e-08,1.107763741506167,8.012789345211016e-08,1.114726683961241,8.013940513765348e-08,0.9397350528211453,8.014311576902436e-08,0.5024270426164661,8.014398518765928e-08,0.2707489377092027,7.087376670269759e-08,0
7.098981951328335e-08,1.100001465811508,7.108201173211362e-08,1.099981135605136,7.187963572791894e-08,1.099996431360462,7.242597547546515e-08,1.100008038682854,7.451569427794845e-08,1.09999465963837,8.009802708955076e-08,1.099944385283368,7.894044137303597e-08,1.099985851329844,8.013001431360343e-08,1.114412597960674,8.012892976192777e-08,1.114328317774914,8.013300846127388e-08,1.124168223072337,8.014144157695714e-08,0.7928740317931703,8.014544906937013e-08,0.2866853358502408,8.014577873674547e-08,0.1425495721359774,7.098981951328335e-08,0
7.113205139919002e-08,1.099998173212963,7.122303238700861e-08,1.100017799246791,7.21423404881675e-08,1.100002960548498,7.275184498955812e-08,1.099991388312231,7.516621158987417e-08,1.100004999411717,8.010883103658678e-08,1.099876427410224,8e-08,1.100013782976448,8.013489757066892e-08,1.124995420972716,8.013387381834606e-08,1.124659398034759,8.013724296453816e-08,1.086913040399786,8.014412962521697e-08,0.5492620623329338,8.014723913729318e-08,0.1537187582268101,8.014738029165979e-08,0.06957890048639033,7.113205139919002e-08,0
